num_authors,num_maintainers,num_roles,has_organization,has_license,yanked,has_sdist,has_sig,num_dependencies,has_requires_python,num_releases,days_since_first_release,days_since_last_release,dev_status_level,description_length,num_classifiers,num_project_urls,has_homepage,num_wheel_dists,total_dist_size_kb,package,version,label
1,1,2,1,1,0,1,0,10,1,144,1585,703,3,16944,15,3,1,1,156,starlite,1.5.4,1
1,0,8,1,1,0,1,0,34,0,217,7033,12,0,1367,9,1,1,2,11239,ipython,4.1.0,1
1,0,5,1,1,0,1,0,0,0,209,3215,17,3,4042,24,1,1,0,57,dash,1.3.0,1
1,0,3,0,1,0,1,0,27,1,1565,3875,6,3,1718,7,6,1,1,37935,homeassistant,2023.5.4,1
1,0,2,0,1,0,1,0,0,0,188,3230,3,1,2084,12,1,1,0,19,uvicorn,0.3.13,1
1,0,1,0,1,0,1,0,1,0,183,4329,1214,1,1976,6,1,1,1,192,tripleo-heat-templates,0.8.14,1
1,0,4,0,1,0,1,0,0,0,85,5841,4,3,658,16,2,1,1,89,radicale,1.0.1,1
1,0,4,0,1,0,1,0,62,1,218,2641,7,3,10529,14,7,1,1,1930,bentoml,1.2.0a7,1
1,0,1,1,1,0,1,0,0,0,120,6937,162,0,612,0,2,1,0,1364,ckan,1.5.1,1
1,0,0,1,1,0,1,0,0,0,755,5534,22,3,1887,18,2,1,0,451,trytond,2.8.2,1
1,0,2,1,1,0,1,0,0,0,321,7359,6,3,5502,7,2,1,0,1799,sqlalchemy,0.6.1,1
0,0,7,0,0,0,1,0,0,1,78,1535,30,0,22,4,2,1,1,2,nebari,0.0.1,1
1,0,1,0,1,0,1,0,27,0,164,2544,81,2,28525,16,1,1,1,9147,py7zr,0.8.0b5,1
1,0,2,0,1,0,1,0,25,0,72,4649,179,3,9411,17,1,1,1,4526,wiki,0.7,1
1,0,9,0,1,0,1,0,0,0,45,6241,1960,2,9778,10,2,1,0,166,python-fedora,0.5.2,1
1,0,2,0,1,0,1,0,0,0,143,4667,2948,0,7,0,2,1,0,1768,ajenti,1.2.21.15,1
1,0,3,1,1,0,1,0,2,1,197,3263,9,2,7237,15,1,1,1,52,pydantic,0.13.1,1
0,0,1,0,1,0,1,0,39,1,486,1262,6,0,4717,5,2,1,1,569,langchain,0.0.106,1
1,0,1,0,1,0,1,0,0,0,755,4871,10,3,3363,15,2,1,0,16332,tendenci,5.1.389,1
0,1,4,0,1,0,1,0,13,1,108,5961,27,3,2399,19,1,1,1,1158,scrapy,1.7.3,1
1,0,1,0,0,0,1,0,26,1,288,2679,8,2,14000,9,2,1,1,3962,fastapi,0.11.0,1
1,0,8,0,1,0,1,0,0,0,263,3838,22,0,267,0,2,1,0,124,distributed,1.0.2,1
1,0,3,0,0,0,1,0,5,1,623,7272,31,3,901,16,1,1,1,990,setuptools,35.0.1,1
1,0,0,1,1,0,1,0,0,0,64,5837,49,2,809,15,1,1,1,616,flask,0.12.2,1
1,0,2,0,1,0,1,0,24,1,382,4531,0,3,6686,11,1,1,1,9356,flask-appbuilder,4.3.1,1
1,0,0,1,0,0,0,0,20,1,140,2881,135,0,3880,2,3,1,1,61499,hail,0.2.52,1
1,0,1,0,1,0,1,0,0,0,48,4529,89,3,1260,10,1,1,1,70,websockets,3.3,1
1,0,4,0,1,0,1,0,0,0,59,5962,311,3,63,14,1,1,1,106,jsonpickle,1.3,1
1,0,3,0,1,0,1,0,5,0,159,5533,10,3,45423,14,1,1,1,1055,requests,2.14.0,1
1,0,2,0,1,0,1,0,0,0,52,6164,229,3,66801,14,2,1,0,400,supervisor,3.2.0,1
1,1,2,0,1,0,1,0,61,1,293,1122,8,0,8999,5,3,1,1,14,langflow,1.0.0a53,1
1,0,1,0,1,0,1,0,1,0,142,1588,138,0,0,0,1,1,1,28,ekuiper,1.4.3,1
1,1,2,0,1,0,1,0,9,1,1069,2596,1,0,2976,5,3,1,1,60,strawberry-graphql,0.26.2,1
1,0,1,1,1,0,1,0,7,1,113,2087,32,0,4060,6,2,1,1,123,django-unicorn,0.21.2,1
1,0,6,0,1,0,1,0,3,1,43,2313,78,0,7221,5,1,1,1,88,apache-iotdb,0.12.1,1
1,0,1,0,1,0,1,0,4,1,49,2748,181,2,8265,10,1,1,1,26,postfix-mta-sts-resolver,0.2.8,1
1,0,1,0,0,0,1,0,25,0,266,1040,417,0,10600,3,1,1,1,1989,lollms,3.1.5,1
1,0,8,0,1,0,1,0,0,0,110,5151,1105,0,799,0,2,1,0,526,fedmsg,0.18.0,1
