package,version,num_authors,num_maintainers,num_roles,has_organization,has_license,yanked,has_sdist,has_sig,num_dependencies,has_requires_python,num_releases,days_since_first_release,days_since_last_release,dev_status_level,description_length,num_classifiers,num_project_urls,has_homepage,num_wheel_dists,total_dist_size_kb
distributed,1.10.2,1,0,8,0,1,0,1,0,12,0,263,3837,21,0,166,0,1,1,1,257
streamlit,1.14.1,1,0,2,0,1,0,1,0,24,1,262,2941,8,3,3770,16,7,1,1,17630
homeassistant,2022.4.7,1,0,3,0,1,0,1,0,22,1,1565,3874,5,2,1714,7,6,1,1,26443
py7zr,0.20.0,1,0,1,0,1,0,1,0,38,1,164,2543,80,2,11541,17,5,1,1,4927
openzeppelin-cairo-contracts,0.5.0,1,0,1,0,1,0,1,0,4,0,12,1478,1178,0,10358,1,1,1,1,169
jupyterlab,1.1.3,1,0,0,1,1,0,1,0,11,1,589,3596,28,2,7741,9,1,1,1,25754
pyload-ng,0.5.0b3.dev41,1,1,2,0,1,0,1,0,32,1,102,2494,1,2,10542,25,6,1,1,2812
strawberry-graphql,0.199.2,1,0,2,0,1,0,1,0,25,1,1069,2595,0,3,4152,10,9,1,1,436
protobuf,3.9.0,0,1,1,0,1,0,1,0,2,0,212,6481,14,0,56,9,2,1,17,20150
homeassistant,1.0.0b5,1,0,3,0,1,0,1,0,21,1,1565,3874,5,2,1730,7,6,1,1,15054
gradio,4.5.0,8,0,6,0,0,0,1,0,28,1,658,2605,6,3,14939,12,1,1,1,37422
virtualenv,20.17.1,1,1,2,1,1,0,1,0,20,1,252,6781,30,3,1788,13,3,1,1,20624
starlite,1.10.0,1,1,2,1,1,0,1,0,11,1,144,1584,702,3,19378,15,3,1,1,200
strawberry-graphql,0.180.1,1,0,2,0,1,0,1,0,25,1,1069,2595,0,3,4132,11,9,1,1,396
snowflake-connector-python,3.3.0,1,0,11,0,1,0,1,0,35,1,168,3142,14,3,52762,22,5,1,20,364207
webargs,5.2.0,1,0,2,0,1,0,1,0,44,0,104,4433,161,3,3568,12,5,1,2,85
django-registration,3.0,1,0,1,0,0,0,1,0,2,1,31,6362,366,3,0,19,1,1,1,155
vantage6-node,3.6.1rc1,0,0,3,0,0,0,1,0,17,1,311,2170,9,0,4864,0,1,1,1,80
pymatgen,2023.7.11,1,3,2,0,1,0,1,0,50,1,411,5261,17,2,8572,13,4,1,17,187228
lollms,2.0.13,1,0,1,0,0,0,1,0,15,0,266,1040,417,0,10600,3,1,1,1,62907
flask-appbuilder,2.3.1,1,0,2,0,1,0,1,0,18,1,380,4530,0,3,6790,9,1,1,1,3166
mlflow,2.22.4,0,1,1,0,1,0,1,0,53,1,176,2865,1,3,13780,10,4,1,1,56036
wiki,0.3b1,1,0,2,0,1,0,1,0,9,0,72,4649,179,3,8591,18,1,1,1,2704
flask-appbuilder,4.4.1,1,0,2,0,1,0,1,0,25,1,380,4530,0,3,6717,11,1,1,1,9523
red-discordbot,3.1.1,1,0,0,1,1,1,1,0,52,1,86,2859,34,3,5520,11,1,1,1,2463
jupyterhub,1.4.1,1,0,6,1,1,0,1,0,15,1,94,4050,13,0,12589,6,5,1,1,6568
upydev,0.0.4,1,0,1,0,1,0,1,0,3,0,43,2439,1287,1,10044,13,1,1,1,92
neutron,11.0.5,1,0,1,0,0,0,1,0,48,0,176,2996,7,0,607,10,1,1,1,13457
twisted,22.2.0rc1,1,1,0,1,1,0,1,0,126,1,109,7484,305,0,4718,7,6,1,1,6657
numexpr,2.8.1,0,0,4,0,0,0,1,0,0,0,62,6284,177,0,886,0,1,1,25,7841
langflow,0.0.46,1,1,2,0,1,0,1,0,10,1,293,1121,7,0,2526,5,2,1,0,997
homeassistant,0.83.0,1,0,3,0,1,0,1,0,16,1,1565,3874,5,2,2304,9,6,1,1,5386
strawberry-graphql,0.115.0.dev1655415925,1,0,2,0,1,0,1,0,20,1,1069,2595,0,3,3976,10,3,1,1,276
langchain,0.0.180,0,0,1,0,1,0,1,0,85,1,486,1261,5,0,5469,5,2,1,1,1460
vantage6-node,2.3.0,0,0,3,0,0,0,1,0,19,1,311,2170,9,0,79,0,1,1,1,55
matrix-synapse,1.45.0,0,0,10,0,0,0,1,0,90,1,500,2753,1,3,20513,8,0,0,1,4476
archivy,0.8.2,1,0,1,0,0,0,1,0,17,1,64,2056,988,0,1993,2,1,1,1,80
modoboa,2.1.0,1,0,1,0,1,0,1,0,43,1,111,4133,0,3,3078,12,1,1,1,18903
homeassistant,0.115.0b9,1,0,3,0,1,0,1,0,20,1,1565,3874,5,2,1730,7,6,1,1,13715
django-unicorn,0.6.2,1,0,1,1,1,0,1,0,4,1,113,2087,32,0,1731,5,2,1,1,78
distributed,1.25.0,0,1,8,0,1,0,1,0,14,0,263,3837,21,3,169,12,1,1,1,986
flask-appbuilder,4.3.8,1,0,2,0,1,0,1,0,24,1,380,4530,0,3,6686,11,1,1,1,9276
bentoml,1.2.18,1,0,4,0,1,0,1,0,85,1,218,2640,6,3,9957,14,7,1,1,1998
piccolo,0.42.0,1,0,1,0,1,0,1,0,11,1,292,2677,33,0,2998,10,1,1,1,357
hail,0.2.30,1,0,0,1,0,0,1,0,17,1,140,2881,135,0,3866,2,1,1,1,63028
strawberry-graphql,0.57.0,1,1,2,0,1,0,1,0,17,1,1069,2595,0,0,3659,5,3,1,1,130
ops-cli,2.0.3,1,0,1,0,1,0,1,0,135,1,40,2416,64,3,28275,14,1,1,1,228
langchain,0.0.329,0,0,1,0,1,0,1,0,128,1,486,1261,5,0,5834,5,2,1,1,3188
langchain,0.0.158,0,0,1,0,1,0,1,0,63,1,486,1261,5,0,4947,5,2,1,1,1174
homeassistant,0.106.0,1,0,3,0,1,0,1,0,18,1,1565,3874,5,2,1730,7,6,1,1,9939
jupyter-server,1.4.0,1,0,8,1,1,0,1,0,21,1,155,2811,230,0,2372,8,1,1,1,505
owslib,0.27.1,1,1,4,1,1,0,1,0,5,1,73,7111,162,2,5575,12,1,1,1,383
homeassistant,0.97.1,1,0,3,0,1,0,1,0,19,1,1565,3874,5,2,1795,8,6,1,1,7782
langchain,0.0.14,0,0,1,0,1,0,1,0,20,0,486,1261,5,0,6563,0,1,1,1,134
imagecodecs,2021.3.31,1,0,1,0,1,0,1,0,4,1,57,2737,32,1,11382,12,3,1,18,312683
strawberry-graphql,0.169.0,1,0,2,0,1,0,1,0,24,1,1069,2595,0,3,4132,11,9,1,1,385
homeassistant,2023.6.0b2,1,0,3,0,1,0,1,0,27,1,1565,3874,5,3,1718,7,6,1,1,38591
gradio,2.3.5,1,0,6,0,1,0,1,0,15,0,658,2605,6,0,0,0,1,1,1,6668
loguru,0.2.4,1,0,1,0,1,0,1,0,10,1,21,2679,488,3,16037,13,4,1,1,71
sickrage,9.4.212.dev48,1,0,1,0,1,0,1,0,62,1,1238,3715,1037,0,0,0,1,1,1,28260
transmute-core,1.9.0,1,0,1,0,0,0,1,0,7,0,76,3641,858,3,572,11,1,1,1,2845
ethyca-fides,2.6.2,1,0,1,0,1,0,1,0,51,1,977,1253,0,0,6477,6,1,1,1,6084
dask,2.24.0,0,1,8,0,1,0,1,0,24,1,233,4088,21,0,1469,4,1,1,1,3574
strawberry-graphql,0.132.0,1,0,2,0,1,0,1,0,20,1,1069,2595,0,3,3976,10,7,1,1,314
mitmproxy,5.1.1,1,0,2,1,1,0,0,0,36,0,86,5112,135,3,7010,17,1,1,1,1317
homeassistant,0.98.3,1,0,3,0,1,0,1,0,19,1,1565,3874,5,2,1795,8,6,1,1,7872
snowflake-connector-python,1.4.17,1,0,11,0,1,0,1,0,16,0,168,3142,14,3,13585,20,2,1,1,244
datasette,1.0a0,0,0,1,0,1,0,1,0,31,1,165,3068,21,2,5165,11,7,1,1,522
vantage6-server,4.1.0b1,0,0,3,0,0,0,1,0,26,1,310,2170,15,0,5285,0,1,1,1,263
gradio,4.28.1,9,0,6,0,0,0,1,0,29,1,658,2605,6,3,12687,12,1,1,1,35348
keystone,14.1.0,1,0,1,0,0,0,1,0,59,0,57,2739,7,0,1723,10,1,1,1,2830
homeassistant,2022.8.0b0,1,0,3,0,1,0,1,0,25,1,1565,3874,5,3,1714,8,6,1,1,28244
httpx,0.14.2,1,0,3,0,1,0,1,0,7,1,74,2455,205,2,31892,13,3,1,1,134
homeassistant,0.115.0b0,1,0,3,0,1,0,1,0,20,1,1565,3874,5,2,1730,7,6,1,1,13701
gradio,2.9b40,1,0,6,0,1,0,1,0,17,0,658,2605,6,0,27644,0,1,1,1,5821
tuf,0.11.2.dev3,1,0,3,0,0,0,1,0,4,0,38,4577,393,2,4462,19,1,1,1,2838
homeassistant,2023.4.4,1,0,3,0,1,0,1,0,27,1,1565,3874,5,3,1718,7,6,1,1,35228
strawberry-graphql,0.133.3.dev1664709044,1,0,2,0,1,0,1,0,20,1,1069,2595,0,3,3976,10,7,1,1,316
django-basic-auth-ip-whitelist,0.1.post3,1,0,1,1,1,0,1,0,1,0,18,2899,394,3,1928,10,1,1,1,12
wiki,0.7.7,1,0,2,0,1,0,1,0,29,0,72,4649,179,3,9467,18,1,1,1,5395
litestar,2.5.1,5,4,2,1,1,0,1,0,40,1,62,1103,32,3,85846,22,9,1,1,1110
homeassistant,2021.9.6,1,0,3,0,1,0,1,0,21,1,1565,3874,5,2,1714,8,6,1,1,21554
json2xml,3.10.0,1,0,1,0,1,0,1,0,18,0,79,4659,0,3,10053,9,1,1,1,30
apache-airflow,1.10.14rc2,1,0,0,1,1,0,1,0,874,1,282,3256,1,3,13102,12,5,1,1,8612
jupyterlab,3.0.9,1,0,0,1,1,0,1,0,23,1,589,3596,28,3,9049,10,1,1,1,17716
nautobot,2.2.6,1,0,1,0,1,0,1,0,48,1,209,1870,0,3,6451,8,3,1,1,62348
indico,3.1.1,1,0,2,0,1,0,0,0,194,1,100,3743,16,0,5938,4,7,1,1,43441
lightgbm,3.3.3,0,1,3,0,1,0,1,0,8,0,37,3214,417,3,13974,14,1,1,4,7714
pytorch-lightning,1.0.4,1,0,2,0,1,0,1,0,89,1,220,2565,68,2,17738,13,5,1,1,2383
piccolo,0.19.0,1,0,1,0,1,0,1,0,9,1,292,2677,33,0,2511,10,1,1,1,294
dash,2.4.1,1,0,5,1,1,0,1,0,48,1,209,3214,16,3,6517,22,4,1,1,18784
nanopb,0.4.4.dev1193,1,0,1,0,1,0,1,0,2,1,176,2308,492,0,4652,11,3,1,1,81
ray,2.8.0,1,0,11,0,1,0,0,0,154,0,142,3232,14,0,5447,4,1,1,20,952852
upsonic,0.49.0a1742393199,1,0,1,0,1,0,1,0,32,1,423,900,6,0,9905,0,0,0,1,361
py7zr,0.10.0a4,1,0,1,0,1,1,1,0,26,0,164,2543,80,2,30166,16,1,1,1,2761
ipython,7.18.0,1,0,8,1,1,0,1,0,39,1,217,7033,12,0,1372,8,5,1,1,5786
flask-security-too,3.2.0rc1,1,1,1,1,1,0,1,0,65,1,56,2541,136,2,2039,17,4,1,1,247
ekuiper,1.12.7,1,0,1,0,1,0,1,0,1,0,142,1588,138,0,0,0,1,1,1,28
vantage6,2.0.0,0,0,3,0,0,0,1,0,10,1,315,2190,9,0,79,0,1,1,1,47
ekuiper,1.11.5,1,0,1,0,1,0,1,0,1,0,142,1588,138,0,0,0,1,1,1,28
strawberry-graphql,0.166.0,1,0,2,0,1,0,1,0,23,1,1069,2595,0,3,4132,11,9,1,1,377
matrix-synapse,1.53.0rc1,0,0,10,0,0,0,1,0,97,1,500,2753,1,3,20512,7,0,0,1,4741
homeassistant,2021.12.0b2,1,0,3,0,1,0,1,0,22,1,1565,3874,5,2,1714,8,6,1,1,23619
zope,4.8.9,1,0,2,1,1,0,1,0,62,1,83,3124,32,3,67095,17,4,1,1,11079
